group,id,course,semester,grade
1,11,Art and Expression in a Post-Apocalyptic World,1,10
1,11,Art and Expression in a Post-Apocalyptic World,1,11.5
1,11,Art and Expression in a Post-Apocalyptic World,1,16.5
1,11,Combat Tactics and Self-Defense,2,11.1
1,11,Combat Tactics and Self-Defense,2,14.8
1,11,Combat Tactics and Self-Defense,2,12.6
1,11,Combat Tactics and Self-Defense,2,16.8
1,11,Combat Tactics and Self-Defense,2,10.2
1,11,Combat Tactics and Self-Defense,2,15.1
1,11,Combat Tactics and Self-Defense,2,12.5
1,11,Combat Tactics and Self-Defense,2,13.8
1,11,Combat Tactics and Self-Defense,2,4
1,11,Community Building and Social Organization,2,10.75
1,11,Community Building and Social Organization,2,9.75
1,11,Community Building and Social Organization,2,11.75
1,11,Community Building and Social Organization,2,14.25
1,11,Community Building and Social Organization,2,12.25
1,11,Community Building and Social Organization,2,13.5
1,11,Mechanical Engineering and Vehicle Repair,1,10
1,11,Mechanical Engineering and Vehicle Repair,1,15
1,11,Mechanical Engineering and Vehicle Repair,1,13
1,11,Mechanical Engineering and Vehicle Repair,1,20
1,11,Mechanical Engineering and Vehicle Repair,1,10
1,11,Mechanical Engineering and Vehicle Repair,1,16
1,11,Mechanical Engineering and Vehicle Repair,1,14
1,11,Mechanical Engineering and Vehicle Repair,1,12
1,11,Moral Philosophy and Ethical Decision-Making,2,11
1,11,Moral Philosophy and Ethical Decision-Making,2,11.5
1,11,Moral Philosophy and Ethical Decision-Making,2,12
1,11,Moral Philosophy and Ethical Decision-Making,2,13.5
1,11,Post-Apocalyptic History and Archaeology,2,7
1,11,Post-Apocalyptic History and Archaeology,2,6.5
1,11,Post-Apocalyptic History and Archaeology,2,5.75
1,11,Post-Apocalyptic History and Archaeology,2,12
1,11,Radiation Ecology and Environmental Science,1,12
1,11,Radiation Ecology and Environmental Science,1,15
1,11,Radiation Ecology and Environmental Science,1,11
1,11,Radiation Ecology and Environmental Science,1,13
1,11,Radiation Ecology and Environmental Science,1,10
1,11,Radiation Ecology and Environmental Science,1,7
1,11,Radiation Ecology and Environmental Science,1,13
1,11,Radiation Ecology and Environmental Science,1,12
1,11,Radiation Ecology and Environmental Science,1,11
1,11,Renewable Energy and Sustainable Living,1,17.25
1,11,Renewable Energy and Sustainable Living,1,9.75
1,11,Renewable Energy and Sustainable Living,1,15.25
1,11,Renewable Energy and Sustainable Living,1,8.75
1,11,Renewable Energy and Sustainable Living,1,19.25
1,11,Renewable Energy and Sustainable Living,1,17.5
1,11,Renewable Energy and Sustainable Living,1,12
1,11,Scavenging and Resource Management,2,12.5
1,11,Scavenging and Resource Management,2,16.5
1,11,Scavenging and Resource Management,2,17
1,11,Survival Skills and Wilderness Medicine,1,9
1,11,Survival Skills and Wilderness Medicine,1,12
1,11,Survival Skills and Wilderness Medicine,1,10
1,11,Survival Skills and Wilderness Medicine,1,10
1,11,Survival Skills and Wilderness Medicine,1,10
1,21,Art and Expression in a Post-Apocalyptic World,1,13.5
1,21,Art and Expression in a Post-Apocalyptic World,1,15.5
1,21,Art and Expression in a Post-Apocalyptic World,1,6.5
1,21,Combat Tactics and Self-Defense,2,12.3
1,21,Combat Tactics and Self-Defense,2,18
1,21,Combat Tactics and Self-Defense,2,16.5
1,21,Combat Tactics and Self-Defense,2,15.2
1,21,Combat Tactics and Self-Defense,2,11.7
1,21,Combat Tactics and Self-Defense,2,14.9
1,21,Combat Tactics and Self-Defense,2,9.5
1,21,Combat Tactics and Self-Defense,2,13.3
1,21,Combat Tactics and Self-Defense,2,12
1,21,Combat Tactics and Self-Defense,2,17.4
1,21,Community Building and Social Organization,2,16
1,21,Community Building and Social Organization,2,12.5
1,21,Community Building and Social Organization,2,15.25
1,21,Community Building and Social Organization,2,12.25
1,21,Community Building and Social Organization,2,13.25
1,21,Community Building and Social Organization,2,9.5
1,21,Community Building and Social Organization,2,12
1,21,Mechanical Engineering and Vehicle Repair,1,16
1,21,Mechanical Engineering and Vehicle Repair,1,20
1,21,Mechanical Engineering and Vehicle Repair,1,8
1,21,Mechanical Engineering and Vehicle Repair,1,13
1,21,Mechanical Engineering and Vehicle Repair,1,15
1,21,Mechanical Engineering and Vehicle Repair,1,15
1,21,Mechanical Engineering and Vehicle Repair,1,11
1,21,Mechanical Engineering and Vehicle Repair,1,9
1,21,Moral Philosophy and Ethical Decision-Making,2,10
1,21,Moral Philosophy and Ethical Decision-Making,2,10.5
1,21,Moral Philosophy and Ethical Decision-Making,2,11
1,21,Moral Philosophy and Ethical Decision-Making,2,12
1,21,Post-Apocalyptic History and Archaeology,2,9.75
1,21,Post-Apocalyptic History and Archaeology,2,12.25
1,21,Post-Apocalyptic History and Archaeology,2,13.5
1,21,Post-Apocalyptic History and Archaeology,2,13.25
1,21,Radiation Ecology and Environmental Science,1,14
1,21,Radiation Ecology and Environmental Science,1,14
1,21,Radiation Ecology and Environmental Science,1,13
1,21,Radiation Ecology and Environmental Science,1,15
1,21,Radiation Ecology and Environmental Science,1,14
1,21,Radiation Ecology and Environmental Science,1,13
1,21,Radiation Ecology and Environmental Science,1,11
1,21,Radiation Ecology and Environmental Science,1,11
1,21,Radiation Ecology and Environmental Science,1,11
1,21,Renewable Energy and Sustainable Living,1,9.25
1,21,Renewable Energy and Sustainable Living,1,20
1,21,Renewable Energy and Sustainable Living,1,14
1,21,Renewable Energy and Sustainable Living,1,14
1,21,Renewable Energy and Sustainable Living,1,10.75
1,21,Renewable Energy and Sustainable Living,1,8.75
1,21,Renewable Energy and Sustainable Living,1,10.75
1,21,Scavenging and Resource Management,2,11.5
1,21,Scavenging and Resource Management,2,19.5
1,21,Scavenging and Resource Management,2,14.5
1,21,Survival Skills and Wilderness Medicine,1,9
1,21,Survival Skills and Wilderness Medicine,1,5
1,21,Survival Skills and Wilderness Medicine,1,8
1,21,Survival Skills and Wilderness Medicine,1,10
1,21,Survival Skills and Wilderness Medicine,1,9
1,55,Art and Expression in a Post-Apocalyptic World,1,10
1,55,Art and Expression in a Post-Apocalyptic World,1,16.5
1,55,Art and Expression in a Post-Apocalyptic World,1,13.5
1,55,Combat Tactics and Self-Defense,2,13
1,55,Combat Tactics and Self-Defense,2,16.9
1,55,Combat Tactics and Self-Defense,2,15.3
1,55,Combat Tactics and Self-Defense,2,10
1,55,Combat Tactics and Self-Defense,2,11.8
1,55,Combat Tactics and Self-Defense,2,13.8
1,55,Combat Tactics and Self-Defense,2,8.6
1,55,Combat Tactics and Self-Defense,2,14.4
1,55,Combat Tactics and Self-Defense,2,5.8
1,55,Combat Tactics and Self-Defense,2,10
1,55,Community Building and Social Organization,2,9
1,55,Community Building and Social Organization,2,11.5
1,55,Community Building and Social Organization,2,4.75
1,55,Community Building and Social Organization,2,4.5
1,55,Community Building and Social Organization,2,12
1,55,Community Building and Social Organization,2,11.25
1,55,Community Building and Social Organization,2,13.5
1,55,Mechanical Engineering and Vehicle Repair,1,11
1,55,Mechanical Engineering and Vehicle Repair,1,13
1,55,Mechanical Engineering and Vehicle Repair,1,19
1,55,Mechanical Engineering and Vehicle Repair,1,13
1,55,Mechanical Engineering and Vehicle Repair,1,9
1,55,Mechanical Engineering and Vehicle Repair,1,12
1,55,Mechanical Engineering and Vehicle Repair,1,7
1,55,Mechanical Engineering and Vehicle Repair,1,13
1,55,Moral Philosophy and Ethical Decision-Making,2,10
1,55,Moral Philosophy and Ethical Decision-Making,2,13
1,55,Moral Philosophy and Ethical Decision-Making,2,12
1,55,Moral Philosophy and Ethical Decision-Making,2,13.5
1,55,Post-Apocalyptic History and Archaeology,2,10.75
1,55,Post-Apocalyptic History and Archaeology,2,14.5
1,55,Post-Apocalyptic History and Archaeology,2,10
1,55,Post-Apocalyptic History and Archaeology,2,9.5
1,55,Radiation Ecology and Environmental Science,1,10
1,55,Radiation Ecology and Environmental Science,1,10
1,55,Radiation Ecology and Environmental Science,1,9
1,55,Radiation Ecology and Environmental Science,1,12
1,55,Radiation Ecology and Environmental Science,1,14
1,55,Radiation Ecology and Environmental Science,1,13
1,55,Radiation Ecology and Environmental Science,1,11
1,55,Radiation Ecology and Environmental Science,1,13
1,55,Radiation Ecology and Environmental Science,1,12
1,55,Renewable Energy and Sustainable Living,1,7.5
1,55,Renewable Energy and Sustainable Living,1,9.25
1,55,Renewable Energy and Sustainable Living,1,16
1,55,Renewable Energy and Sustainable Living,1,12.25
1,55,Renewable Energy and Sustainable Living,1,6.25
1,55,Renewable Energy and Sustainable Living,1,15.75
1,55,Renewable Energy and Sustainable Living,1,19.75
1,55,Scavenging and Resource Management,2,17
1,55,Scavenging and Resource Management,2,10
1,55,Scavenging and Resource Management,2,5
1,55,Survival Skills and Wilderness Medicine,1,8
1,55,Survival Skills and Wilderness Medicine,1,8
1,55,Survival Skills and Wilderness Medicine,1,7
1,55,Survival Skills and Wilderness Medicine,1,9
1,55,Survival Skills and Wilderness Medicine,1,8
1,65,Art and Expression in a Post-Apocalyptic World,1,16
1,65,Art and Expression in a Post-Apocalyptic World,1,16
1,65,Art and Expression in a Post-Apocalyptic World,1,13
1,65,Combat Tactics and Self-Defense,2,15
1,65,Combat Tactics and Self-Defense,2,14
1,65,Combat Tactics and Self-Defense,2,13.1
1,65,Combat Tactics and Self-Defense,2,13.2
1,65,Combat Tactics and Self-Defense,2,9.1
1,65,Combat Tactics and Self-Defense,2,12.8
1,65,Combat Tactics and Self-Defense,2,14.6
1,65,Combat Tactics and Self-Defense,2,11.6
1,65,Community Building and Social Organization,2,12.5
1,65,Community Building and Social Organization,2,14.25
1,65,Community Building and Social Organization,2,10.75
1,65,Community Building and Social Organization,2,10
1,65,Community Building and Social Organization,2,9
1,65,Community Building and Social Organization,2,12
1,65,Mechanical Engineering and Vehicle Repair,1,16
1,65,Mechanical Engineering and Vehicle Repair,1,15
1,65,Mechanical Engineering and Vehicle Repair,1,17
1,65,Mechanical Engineering and Vehicle Repair,1,18
1,65,Mechanical Engineering and Vehicle Repair,1,13
1,65,Mechanical Engineering and Vehicle Repair,1,9
1,65,Mechanical Engineering and Vehicle Repair,1,20
1,65,Mechanical Engineering and Vehicle Repair,1,19
1,65,Moral Philosophy and Ethical Decision-Making,2,12
1,65,Moral Philosophy and Ethical Decision-Making,2,11
1,65,Moral Philosophy and Ethical Decision-Making,2,12.5
1,65,Moral Philosophy and Ethical Decision-Making,2,13.5
1,65,Post-Apocalyptic History and Archaeology,2,13
1,65,Post-Apocalyptic History and Archaeology,2,13.75
1,65,Post-Apocalyptic History and Archaeology,2,10.5
1,65,Post-Apocalyptic History and Archaeology,2,8.5
1,65,Radiation Ecology and Environmental Science,1,10
1,65,Radiation Ecology and Environmental Science,1,13
1,65,Radiation Ecology and Environmental Science,1,12
